135,Invalid churned value
136,Invalid join date
136,Invalid last purchase date
136,Invalid churned value
137,Invalid join date
137,Invalid last purchase date
137,Invalid churned value
138,Invalid join date
138,Invalid last purchase date
138,Invalid churned value
139,Invalid join date
139,Invalid last purchase date
139,Invalid churned value
140,Invalid join date
140,Invalid last purchase date
141,Invalid join date
141,Invalid last purchase date
141,Invalid churned value
142,Invalid join date
142,Invalid last purchase date
142,Invalid churned value
143,Invalid join date
143,Invalid last purchase date
143,Invalid churned value
144,Invalid join date
144,Invalid last purchase date
144,Invalid churned value
145,Invalid join date
145,Invalid last purchase date
145,Invalid churned value
146,Invalid join date
146,Invalid last purchase date
146,Invalid churned value
147,Invalid join date
147,Invalid last purchase date
147,Invalid churned value
148,Invalid join date
148,Invalid last purchase date
148,Invalid churned value
149,Invalid join date
149,Invalid last purchase date
149,Invalid churned value
150,Invalid join date
150,Invalid last purchase date
150,Invalid churned value
151,Invalid join date
151,Invalid last purchase date
151,Invalid churned value
152,Invalid join date
152,Invalid last purchase date
152,Invalid churned value
153,Invalid join date
153,Invalid last purchase date
153,Invalid churned value
154,Invalid join date
154,Invalid last purchase date
154,Invalid churned value
155,Invalid join date
155,Invalid last purchase date
155,Invalid churned value
156,Invalid join date
156,Invalid last purchase date
156,Invalid churned value
157,Invalid join date
157,Invalid last purchase date
157,Invalid churned value
158,Invalid join date
158,Invalid last purchase date
158,Invalid churned value
159,Invalid join date
159,Invalid last purchase date
159,Invalid churned value
160,Invalid join date
160,Invalid last purchase date
160,Invalid churned value
161,Invalid join date
161,Invalid last purchase date
161,Invalid churned value
162,Invalid join date
162,Invalid last purchase date
162,Invalid churned value
163,Invalid join date
163,Invalid last purchase date
164,Invalid join date
164,Invalid last purchase date
164,Invalid churned value
165,Invalid join date
165,Invalid last purchase date
165,Invalid churned value
166,Invalid join date
166,Invalid last purchase date
166,Invalid churned value
167,Invalid join date
167,Invalid last purchase date
167,Invalid churned value
168,Invalid join date
168,Invalid last purchase date
168,Invalid churned value
169,Invalid join date
169,Invalid last purchase date
169,Invalid churned value
170,Invalid join date
